[15028:17820:0723/093526.482:INFO:components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc:202] No machine level policy manager exists.
[22856:4000:0723/093526.768:ERROR:ui\gl\direct_composition_support.cc:615] AMD VideoProcessorGetOutputExtension failed: Unspecified error (0x80004005)
[22856:4000:0723/093526.771:VERBOSE1:components\viz\service\main\viz_main_impl.cc:86] VizNullHypothesis is disabled (not a warning)
[18596:18744:0723/093526.879:INFO:third_party\webrtc\rtc_base\cpu_info.cc:57] Available number of cores: 16
[18600:18592:0723/093527.045:INFO:third_party\webrtc\rtc_base\cpu_info.cc:57] Available number of cores: 16
[29012:29016:0723/093530.487:INFO:third_party\webrtc\rtc_base\cpu_info.cc:57] Available number of cores: 16
[15028:17820:0723/093530.647:INFO:CONSOLE:2] "Error", source: https://client.protechts.net/PXdOjV695v/main.min.js (2)
[15028:17820:0723/093531.295:INFO:CONSOLE:1] "Error: ns!", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
[15028:17820:0723/093531.375:INFO:CONSOLE:1] "console.groupEnd", source: https://cadmus2.script.ac/fs01/main.js (1)
